                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9309,                 1.8007,                 1.1228,                 0.6486,                0.55434,                0.56975,                 0.2396,                 1.8935,                 1.4147,                 1.0944,             0.00055324,             0.00055324,             0.00055324
                      2,                 1.7348,                 1.0993,                 1.0518,                0.71033,                 0.5928,                0.61756,                0.25908,                 1.8926,                  1.246,                 1.0834,              0.0010723,              0.0010723,              0.0010723
                      3,                 1.6607,                 1.0349,                 1.0333,                 0.6978,                 0.5624,                0.59543,                0.25926,                 1.8253,                 1.2312,                 1.0725,              0.0015547,              0.0015547,              0.0015547
                      4,                 1.6103,                0.97127,                 1.0122,                0.65177,                0.48172,                0.51849,                0.20754,                 1.9647,                 1.6558,                 1.1028,               0.001502,               0.001502,               0.001502
                      5,                  1.538,                0.91695,                 1.0015,                0.73727,                0.57562,                0.63266,                 0.2875,                 1.8225,                 1.2455,                 1.0781,               0.001502,               0.001502,               0.001502
                      6,                 1.5075,                0.88384,                0.98197,                0.77635,                0.56029,                0.62733,                0.29512,                 1.7566,                 1.1551,                 1.0591,               0.001447,               0.001447,               0.001447
                      7,                 1.4507,                0.84477,                0.97247,                0.74813,                0.58055,                0.63124,                0.26785,                 1.8167,                 1.1458,                 1.0756,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.4086,                0.80941,                0.95443,                0.74269,                0.56539,                 0.6431,                  0.284,                 1.8498,                 1.1488,                  1.076,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.3938,                0.78992,                0.95724,                0.77275,                0.61779,                0.65535,                0.28994,                 1.7735,                  1.054,                 1.0737,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.3587,                0.77047,                0.94715,                0.79735,                0.61341,                0.67276,                0.30487,                 1.7383,                 1.0573,                 1.0429,              0.0012269,              0.0012269,              0.0012269
                     11,                  1.333,                0.74999,                0.94195,                0.72139,                0.61475,                 0.6528,                 0.3027,                 1.7418,                 1.0261,                  1.063,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.3034,                0.72657,                0.93017,                0.73624,                0.60116,                0.65005,                0.30546,                 1.7081,                 1.0407,                 1.0531,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.3002,                 0.7167,                0.92908,                0.72221,                0.58687,                0.63442,                0.29061,                 1.8062,                 1.1366,                 1.0485,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.2608,                0.69717,                0.92171,                0.78541,                0.57541,                0.64443,                0.31226,                 1.6853,                 1.0734,                 1.0229,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.2322,                0.67171,                0.91607,                0.75054,                 0.6212,                0.65912,                0.30655,                 1.7244,                 1.0933,                 1.0684,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.1948,                0.64975,                 0.9084,                0.76708,                0.61498,                0.66741,                0.30207,                 1.7409,                   1.11,                 1.0545,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.1949,                0.64789,                0.90603,                0.77388,                0.62253,                0.67329,                0.30941,                 1.7038,                 1.0499,                 1.0254,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.1884,                0.64276,                0.90671,                0.78316,                0.63614,                0.68167,                0.32379,                 1.6691,                 1.0374,                 1.0313,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.1513,                0.61329,                0.89928,                0.73733,                0.58417,                0.62752,                0.30178,                 1.7046,                 1.1145,                 1.0203,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.1442,                 0.6096,                0.89486,                0.78836,                0.61688,                0.67214,                0.31792,                 1.6967,                0.95247,                 1.0434,              0.0006768,              0.0006768,              0.0006768
                     21,                  1.146,                0.61401,                0.90686,                0.76825,                0.62618,                0.67019,                0.31884,                 1.6179,                 1.0459,                 1.0187,             0.00062179,             0.00062179,             0.00062179
                     22,                  1.106,                0.59519,                0.89914,                0.76004,                0.62044,                0.67405,                0.32344,                 1.6404,                0.97304,                 1.0246,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.0949,                0.58473,                0.89578,                0.76848,                0.61102,                0.67908,                0.33016,                 1.6607,                0.95739,                 1.0238,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.0685,                0.57157,                0.89055,                0.76899,                0.62031,                0.66142,                0.32111,                 1.6678,                0.96499,                 1.0323,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.0598,                0.56398,                0.88649,                0.78035,                0.59233,                0.66432,                0.32291,                 1.6507,                0.99121,                 1.0256,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.0341,                0.54595,                0.88372,                0.80319,                0.61095,                0.68093,                0.32803,                 1.6487,                0.94678,                 1.0327,             0.00034674,             0.00034674,             0.00034674
                     27,                0.99646,                0.53399,                0.87962,                0.80053,                0.60785,                0.67512,                0.32753,                 1.6493,                0.96571,                 1.0347,             0.00029172,             0.00029172,             0.00029172
                     28,                 0.9872,                0.52213,                0.87575,                0.77989,                0.61988,                0.68133,                0.32674,                 1.6643,                 0.9851,                  1.044,             0.00023671,             0.00023671,             0.00023671
