                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5471,                  1.168,                 1.2499,                0.75786,                0.51784,                0.60033,                0.31911,                  1.518,                0.95179,                  1.189,             0.00055517,             0.00055517,             0.00055517
                      2,                 1.4829,                0.95167,                 1.2222,                 0.7881,                0.52145,                0.62049,                0.34216,                 1.4727,                0.87563,                 1.1719,              0.0010742,              0.0010742,              0.0010742
                      3,                 1.4698,                0.92449,                 1.2164,                0.76775,                0.52611,                0.61831,                0.34507,                 1.4537,                0.87174,                 1.1654,              0.0015565,              0.0015565,              0.0015565
                      4,                 1.4435,                0.89516,                 1.2016,                0.79324,                 0.5481,                 0.6414,                0.36008,                 1.4181,                0.82641,                 1.1354,               0.001502,               0.001502,               0.001502
                      5,                 1.4244,                 0.8756,                 1.1923,                0.80757,                0.54593,                 0.6491,                0.36245,                 1.4242,                0.80534,                 1.1368,               0.001502,               0.001502,               0.001502
                      6,                 1.4072,                0.85712,                 1.1828,                0.79707,                0.56842,                0.65971,                0.37158,                 1.3906,                0.79804,                 1.1283,               0.001447,               0.001447,               0.001447
                      7,                 1.3865,                0.83833,                 1.1722,                0.80836,                0.56497,                0.65827,                 0.3742,                 1.3771,                0.78873,                 1.1183,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.3792,                0.83037,                 1.1675,                0.80719,                0.57151,                0.66574,                0.37958,                 1.3658,                0.76917,                 1.1121,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.3707,                0.82357,                 1.1619,                0.81251,                0.57002,                0.66949,                0.37983,                  1.373,                0.77111,                 1.1133,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.3554,                 0.8121,                 1.1572,                0.81636,                0.57435,                0.67281,                0.38888,                 1.3442,                0.76029,                 1.1021,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.3463,                0.80243,                 1.1522,                0.82093,                0.58252,                0.67685,                0.39289,                 1.3297,                0.74532,                 1.0948,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.3445,                0.80109,                  1.149,                0.82189,                 0.5841,                0.68122,                0.39396,                 1.3318,                0.73712,                 1.0944,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.3366,                0.79185,                 1.1461,                0.81877,                0.58635,                0.68324,                0.39656,                 1.3216,                0.73599,                 1.0877,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.3276,                0.78568,                 1.1415,                0.82036,                 0.5883,                0.68352,                0.39716,                 1.3141,                0.73982,                 1.0872,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.3274,                0.78238,                 1.1402,                  0.821,                0.58818,                 0.6849,                0.39885,                 1.3149,                0.72118,                 1.0841,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.3175,                0.77465,                 1.1347,                0.82353,                0.59218,                0.68937,                0.40361,                 1.3053,                0.72132,                 1.0809,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.3129,                0.77094,                 1.1308,                0.82368,                0.59678,                0.69185,                0.40559,                 1.2993,                0.71309,                 1.0778,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.3072,                0.76482,                 1.1291,                0.82702,                0.59657,                0.69219,                0.40667,                 1.2925,                0.71447,                 1.0749,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.2998,                0.76286,                 1.1267,                0.83186,                0.59402,                0.69348,                0.40648,                  1.298,                0.70994,                 1.0751,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.2964,                0.75508,                 1.1237,                0.82678,                0.59767,                0.69526,                0.40844,                 1.2902,                0.70545,                 1.0735,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.2866,                0.71915,                 1.1135,                0.83263,                 0.5979,                0.69645,                0.41197,                 1.2858,                0.70452,                 1.0713,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.2746,                0.70885,                  1.107,                0.83033,                0.60008,                0.69731,                0.41433,                 1.2793,                 0.7011,                 1.0677,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.2699,                0.70536,                 1.1042,                0.83152,                 0.5999,                0.69797,                0.41465,                 1.2757,                0.69882,                 1.0666,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.2638,                0.70187,                 1.1014,                0.83032,                0.60485,                0.70063,                0.41492,                 1.2781,                0.69646,                  1.066,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.2573,                0.69601,                 1.0981,                0.83062,                0.60387,                0.70082,                0.41619,                 1.2733,                0.69288,                 1.0654,             0.00040175,             0.00040175,             0.00040175
