                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1342,                 2.0506,                 1.1949,                0.64974,                0.53542,                0.51481,                0.21721,                 1.9369,                 1.4441,                 1.0633,             0.00055324,             0.00055324,             0.00055324
                      2,                 1.8447,                 1.2406,                 1.0706,                0.70176,                0.51824,                0.55493,                0.23452,                 1.9244,                 1.3788,                 1.0675,              0.0010723,              0.0010723,              0.0010723
                      3,                 1.7268,                 1.1181,                 1.0354,                0.67163,                0.54418,                0.56382,                0.24972,                 1.8831,                 1.3848,                 1.0658,              0.0015547,              0.0015547,              0.0015547
                      4,                   1.67,                  1.057,                 1.0146,                0.59708,                0.54349,                0.52897,                0.23088,                 1.9383,                 1.3762,                 1.0734,               0.001502,               0.001502,               0.001502
                      5,                 1.5906,                 1.0004,                 1.0005,                0.70297,                 0.5737,                0.60361,                0.25875,                 1.9084,                 1.2544,                 1.0671,               0.001502,               0.001502,               0.001502
                      6,                 1.5683,                0.97429,                0.98599,                0.73772,                0.55916,                0.59055,                0.26405,                  1.874,                 1.2189,                 1.0568,               0.001447,               0.001447,               0.001447
                      7,                 1.5187,                0.93417,                0.97818,                0.68753,                0.55904,                0.58158,                0.25763,                 1.8345,                 1.2378,                 1.0449,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.4765,                0.89918,                0.96018,                 0.6963,                0.55837,                0.59652,                0.26525,                 1.7699,                  1.234,                 1.0366,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.4627,                0.88299,                0.96392,                0.76107,                0.55898,                0.61835,                0.28299,                  1.771,                 1.1868,                 1.0408,              0.0012819,              0.0012819,              0.0012819
                     10,                  1.436,                0.86055,                0.95282,                0.72756,                0.57862,                0.62623,                0.27891,                 1.7872,                 1.1498,                 1.0276,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.4153,                0.84374,                0.94912,                0.74285,                 0.5681,                 0.6187,                0.28402,                 1.7482,                  1.197,                 1.0164,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.3993,                0.82414,                0.94182,                0.72776,                0.58491,                0.62616,                0.28942,                 1.7695,                  1.102,                 1.0311,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.3925,                 0.8182,                0.93998,                0.75562,                0.57879,                0.62689,                0.28856,                 1.8008,                 1.1616,                 1.0369,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.3497,                 0.7945,                0.93037,                0.75926,                 0.5958,                0.63819,                0.29452,                 1.7384,                 1.1252,                 1.0211,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.3381,                0.77808,                0.92895,                0.73048,                0.58995,                0.64053,                 0.2902,                 1.8032,                  1.181,                 1.0401,             0.00095186,             0.00095186,             0.00095186
                     16,                  1.308,                0.75847,                0.92197,                0.74197,                0.62728,                0.66146,                0.30142,                 1.7998,                 1.1093,                 1.0312,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.3157,                0.75782,                0.92301,                0.77656,                0.58571,                 0.6476,                0.29578,                 1.7816,                 1.1251,                 1.0355,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.3045,                0.75404,                0.92229,                 0.7546,                0.61855,                0.65848,                0.30143,                 1.7624,                 1.1056,                  1.038,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.2562,                0.72195,                0.91238,                0.75988,                0.61225,                0.65295,                 0.2963,                 1.7648,                 1.0878,                  1.024,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.2854,                0.73361,                0.91353,                0.78933,                0.60356,                0.65075,                0.29897,                 1.7685,                  1.118,                 1.0364,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.2559,                0.72106,                0.92298,                0.70938,                0.56236,                0.60705,                0.28185,                 1.7583,                 1.1422,                 1.0221,             0.00062179,             0.00062179,             0.00062179
